scenario,sample,replicate,regolith_pct,vermicompost_pct,mycorrhiza,light_hours,dark_days_continuous,radiation_msv_day,gravity_g,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,ph,perchlorate_ppm,glass_fines_pct,transpiration_index,xylem_geometry_risk,dark_lethality_index,xylem_embolism_risk,toxicity_index,dry_root_g,dry_shoot_g,seed_weight_g,slakes,biomass_g,total_seed,height_cm,survival,mortality_probability
observed_earth_simulant,Control-,1,0.0,100.0,0.0,12.0,0.5,0.02,1.0,124.42364,37.65419,209.10947,6.28424,0.0,0.0,0.91016,0.36275,0.02298,0.0,0.0,3.9,8.12,3.38,0.34,12.02,27.0,8.37,1.0,0.0
simulated_lunar_1,Control-,1,0.0,100.0,0.0,0.0,14.0,0.36039,0.16667,124.84208,34.21236,172.65439,5.94648,13.3884,0.0,1.12802,0.40864,0.97702,0.69749,0.05021,3.9,8.12,3.38,0.34,0.0,0.0,0.1673,0.0607,0.98
simulated_lunar_2,Control-,1,0.0,100.0,0.0,4.0,10.0,0.4942,0.16667,124.23227,30.93847,192.7507,6.01273,27.11691,4.63617,1.35383,0.29362,0.82671,0.69402,0.24335,3.9,8.12,3.38,0.34,0.0,0.0,0.0206,0.0063,0.98
simulated_lunar_3,Control-,1,0.0,100.0,0.0,8.0,7.0,1.63869,0.16667,125.51691,33.61269,183.80121,6.17908,18.6972,3.41754,1.25527,0.47362,0.5,0.79962,0.17454,3.9,8.12,3.38,0.34,0.0,0.0,0.0515,0.0168,0.7748
simulated_lunar_4,Control-,1,0.0,100.0,0.0,16.0,7.0,1.31487,0.16667,131.19349,33.10893,198.35963,6.04304,49.64704,1.96642,1.18269,0.44321,0.65135,0.74551,0.24626,3.9,8.12,3.38,0.34,0.0136,0.0187,0.0182,0.0045,0.8846
simulated_lunar_5,Control-,1,0.0,100.0,0.0,0.0,7.0,2.03496,0.16667,108.38959,31.04467,188.28376,6.32877,33.04319,0.59776,1.36154,0.75874,0.34865,1.0,0.14218,3.9,8.12,3.38,0.34,0.0,0.0,0.1689,0.0598,0.7095
simulated_lunar_6,Control-,1,0.0,100.0,0.0,4.0,14.0,0.47273,0.16667,123.43055,34.38296,186.68724,5.85323,0.18714,1.86033,1.33064,0.48621,0.98309,0.84234,0.05755,3.9,8.12,3.38,0.34,0.0,0.0,3.2506,1.0,0.98
simulated_lunar_7,Control-,1,0.0,100.0,0.0,0.0,3.0,1.59525,0.16667,113.86631,32.45588,181.30693,6.02468,3.87993,3.37643,1.65231,0.39754,0.04209,0.89859,0.11772,3.9,8.12,3.38,0.34,0.5577,0.6068,3.5764,1.0,0.4585
observed_earth_simulant,Control-,2,0.0,100.0,0.0,12.0,0.5,0.02,1.0,122.66212,37.14439,220.89428,6.14646,0.0,0.0,1.00587,0.34458,0.02298,0.0,0.0,5.66,12.02,3.68,0.37,17.68,27.0,26.0,1.0,0.0
simulated_lunar_1,Control-,2,0.0,100.0,0.0,16.0,3.0,1.43799,0.16667,110.06968,31.54243,185.41812,5.72125,48.85255,3.01675,1.1752,0.38065,0.13296,0.69562,0.27538,5.66,12.02,3.68,0.37,6.6472,9.923,18.1931,1.0,0.5047
simulated_lunar_2,Control-,2,0.0,100.0,0.0,16.0,7.0,0.54394,0.16667,110.01456,33.58627,182.69964,6.50405,9.44565,3.14078,1.01758,0.35086,0.65135,0.61357,0.13139,5.66,12.02,3.68,0.37,0.5206,0.492,1.2087,0.0796,0.8286
simulated_lunar_3,Control-,2,0.0,100.0,0.0,0.0,7.0,0.72692,0.16667,116.8363,30.89914,198.60061,6.11758,27.79754,5.04815,1.40967,0.37171,0.34865,0.77993,0.25849,5.66,12.02,3.68,0.37,0.0,0.0,8.4541,1.0,0.6777
simulated_lunar_4,Control-,2,0.0,100.0,0.0,12.0,7.0,1.32454,0.16667,117.24165,26.87988,177.05302,6.03124,3.89214,2.84558,1.519,0.46572,0.5775,0.90624,0.10154,5.66,12.02,3.68,0.37,0.0299,0.0167,0.6943,0.0691,0.8427
simulated_lunar_5,Control-,2,0.0,100.0,0.0,0.0,14.0,1.68361,0.16667,126.55476,33.45108,179.51641,6.18897,34.20066,3.31061,1.38839,0.54697,0.97702,0.9184,0.22941,5.66,12.02,3.68,0.37,0.0,0.0,0.0488,0.006,0.98
simulated_lunar_6,Control-,2,0.0,100.0,0.0,16.0,3.0,2.14109,0.16667,133.91299,30.39782,191.94543,6.29947,21.20091,4.47266,1.46391,0.93898,0.13296,1.0,0.21617,5.66,12.02,3.68,0.37,0.3724,0.3701,1.061,0.0627,0.569
simulated_lunar_7,Control-,2,0.0,100.0,0.0,16.0,14.0,0.59411,0.16667,122.81224,30.71561,215.23678,5.8803,9.64807,2.49127,1.23824,0.63813,0.99331,0.91961,0.1123,5.66,12.02,3.68,0.37,0.078,0.067,0.6234,0.0682,0.98
observed_earth_simulant,Control-,3,0.0,100.0,0.0,12.0,0.5,0.02,1.0,127.11038,40.4735,207.34724,6.12165,0.0,0.38339,1.08628,0.25939,0.02298,0.0,0.01171,5.15,12.47,3.25,0.37,17.62,23.0,33.5,1.0,0.0
simulated_lunar_1,Control-,3,0.0,100.0,0.0,16.0,3.0,1.47682,0.16667,110.7442,34.93023,157.25263,6.03334,24.2983,5.54403,1.31283,0.70377,0.13296,1.0,0.26052,5.15,12.47,3.25,0.37,0.1535,0.0908,0.4672,0.0253,0.5778
simulated_lunar_2,Control-,3,0.0,100.0,0.0,16.0,3.0,0.4392,0.16667,128.01027,33.54038,194.16936,6.47681,6.24174,3.89431,1.18107,0.31831,0.13296,0.65117,0.1424,5.15,12.47,3.25,0.37,13.8296,15.6239,31.6939,1.0,0.467
simulated_lunar_3,Control-,3,0.0,100.0,0.0,16.0,3.0,1.56894,0.16667,102.54283,30.6616,204.58736,6.34861,15.33165,6.68235,1.29502,0.41132,0.13296,0.76704,0.26168,5.15,12.47,3.25,0.37,0.2108,0.2203,0.5694,0.0274,0.5198
simulated_lunar_4,Control-,3,0.0,100.0,0.0,8.0,3.0,0.47537,0.16667,115.35496,30.85848,189.46165,6.44337,18.53557,1.48473,1.19354,0.75592,0.07586,0.9862,0.11488,5.15,12.47,3.25,0.37,5.0651,3.1236,16.0066,1.0,0.5041
simulated_lunar_5,Control-,3,0.0,100.0,0.0,4.0,3.0,1.88573,0.16667,116.06573,32.15836,192.17213,6.22327,38.10474,0.38508,1.54696,0.35756,0.05665,0.82042,0.15466,5.15,12.47,3.25,0.37,0.0098,0.0052,0.1051,0.0082,0.4568
simulated_lunar_6,Control-,3,0.0,100.0,0.0,16.0,7.0,2.05895,0.16667,106.85112,33.14871,192.12172,6.1385,9.68593,1.42863,1.35926,0.89337,0.65135,1.0,0.07997,5.15,12.47,3.25,0.37,0.0189,0.0076,0.3804,0.0329,0.915
simulated_lunar_7,Control-,3,0.0,100.0,0.0,4.0,3.0,1.02683,0.16667,128.75812,33.81527,193.37123,6.52551,2.79242,5.50374,1.38829,0.69502,0.05665,1.0,0.17864,5.15,12.47,3.25,0.37,0.0422,0.0356,0.3107,0.0223,0.5065
observed_earth_simulant,Control-,4,0.0,100.0,0.0,12.0,0.5,0.02,1.0,122.94528,34.98808,209.28718,6.25974,0.0,0.0,1.121,0.26179,0.02298,0.0,0.0,5.11,13.46,3.34,0.37,18.57,33.0,38.0,1.0,0.0
simulated_lunar_1,Control-,4,0.0,100.0,0.0,16.0,10.0,0.37269,0.16667,122.82623,30.73009,178.69755,6.1486,3.39858,3.48669,1.29118,0.87463,0.92414,1.0,0.11928,5.11,13.46,3.34,0.37,0.004,0.0027,0.0576,0.0036,0.98
simulated_lunar_2,Control-,4,0.0,100.0,0.0,4.0,10.0,1.11947,0.16667,137.09329,30.86704,172.33412,5.89374,39.2961,5.52801,1.03337,0.44464,0.82671,0.68405,0.31627,5.11,13.46,3.34,0.37,0.0,0.0,0.5722,0.0444,0.98
simulated_lunar_3,Control-,4,0.0,100.0,0.0,4.0,10.0,1.07154,0.16667,119.46932,34.28216,176.16722,6.18692,41.81004,1.11751,1.20139,0.53134,0.82671,0.82017,0.19093,5.11,13.46,3.34,0.37,0.0,0.0,0.5838,0.0409,0.98
simulated_lunar_4,Control-,4,0.0,100.0,0.0,0.0,10.0,1.27936,0.16667,115.14973,30.98995,193.34182,5.79679,13.34329,1.23791,1.31258,0.38363,0.7773,0.75185,0.08786,5.11,13.46,3.34,0.37,0.0,0.0,0.9427,0.068,0.9452
simulated_lunar_5,Control-,4,0.0,100.0,0.0,4.0,14.0,1.23932,0.16667,121.68901,33.16563,202.51966,6.43328,18.81312,2.61928,1.21522,0.51886,0.98309,0.81693,0.15058,5.11,13.46,3.34,0.37,0.0,0.0,0.9502,0.0766,0.98
simulated_lunar_6,Control-,4,0.0,100.0,0.0,0.0,14.0,0.55334,0.16667,110.39558,33.81355,175.22574,6.03677,18.49919,0.33891,1.45084,0.52006,0.97702,0.92401,0.07973,5.11,13.46,3.34,0.37,0.0,0.0,0.47,0.0357,0.98
